ocid,n_item,descripcion_item,cantidad,unidad_medida,fecha_convocatoria,fecha_buena_pro,fecha_suscripcion,monto_referencial,monto_adjudicado,monto_contratado,monto_adicional,ruc_comprador,nombre_comprador,departamento_comprador,red_candidato,red_metodo,ruc_proveedor,nombre_proveedor,metodo_contratacion,detalles_metodo,causal_cd,es_contratacion_directa,estado_adjudicacion,tiene_adenda,anio_fiscal,_fuente,_codigoconvocatoria,_descripcion_proceso,_departamento_item,_estado_item,_ratio_adicional,_monto_reduccion,_monto_prorroga,_monto_complementario
ocds-dgv273-seacev3-2025-2543-OC4505154335,4505154335,MEDICINAS,,Unidad,2025-07-22,,2025-07-22,2305.2,,2305.2,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20610326537,GRUPO RED PHARMA S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,MEDICINAS,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505145205,4505145205,MEDICINAS,,Unidad,2025-07-09,,2025-07-09,24633.306,,24633.306,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20100096936,ABBOTT LABORATORIOS SA,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,MEDICINAS,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505145002,4505145002,MEDICINAS,,Unidad,2025-07-09,,2025-07-09,37165.0,,37165.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20100085225,QUIMICA SUIZA SOCIEDAD ANONIMA CERRADA - QUIMICA SUIZA S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,MEDICINAS,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505120385,4505120385,ADQUISICION DE MATERIAL MEDICO COMPRA DELEGADAUSUARIO: SERVICIO DE HEMODINAMIA-CARDIOLOGIATODOS LOS ITEMS:MARCA: SCW MEDICATH // PRESENTACION:  CAJA X 5 UNDS  // PROCEDENCIA:CHINA//: VIGENCIA: 18 MESES// REGISTRO: DM27844E PLAZO DE ENTREGA PARA TODOSLOS*,,Unidad,2025-06-17,,2025-06-17,7200.0,,7200.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20607904228,MEDITEX CORPORATION S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MATERIAL MEDICO COMPRA DELEGADAUSUARIO: SERVICIO DE HEMODINAMIA-CARDIOLOGIATODOS LOS ITEMS:MARCA: SCW MEDICATH // PRESENTACION:  CAJA X 5 UNDS  // PROCEDENCIA:CHINA//: VIGENCIA: 18 MESES// REGISTRO: DM27844E PLAZO DE ENTREGA PARA TODOSLOS*,LIMA,Comprometida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505124421,4505124421,ADQUISICION DE MATERIAL MEDICO - CLUSUARIO:NEUROCIRUGIA - HAAAMARCA:GLOBUS MEDICALPROCEDENCIA:USAPRESENTACION:UNDR.SANITARIO:DM19294EVIGENCIA:12 MESESPLAZO DE ENTREGA:07 DIAS CALENDARIOA.PROGRAMACION:FRANCIS GONZALES CARRASCOA.ADQUISICIONES:JOSE MARTIN OL,,Unidad,2025-06-21,,2025-06-21,12100.0,,12100.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20100962439,NEWSON S.A.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MATERIAL MEDICO - CLUSUARIO:NEUROCIRUGIA - HAAAMARCA:GLOBUS MEDICALPROCEDENCIA:USAPRESENTACION:UNDR.SANITARIO:DM19294EVIGENCIA:12 MESESPLAZO DE ENTREGA:07 DIAS CALENDARIOA.PROGRAMACION:FRANCIS GONZALES CARRASCOA.ADQUISICIONES:JOSE MARTIN OL,LIMA,Comprometida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505139277,4505139277,ADQUISICION DE MATERIAL MEDICO DELEGADAS A COMPRA LOCAL - RED ASISTENCIAL PASCO - ESSALUD CORRESPONDIENTE AL MES DE JULIO 2025. LA RECEPCIÓN SE REALIZARÁ PREVIA VERIFICACIÓN DEL ÁREA USUARIA DE ACUER,,Unidad,2025-07-04,,2025-07-04,1011.4,,1011.4,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,RED ASISTENCIAL PASCO,NOMBRE_TEXTO,20197705249,UNILENE S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MATERIAL MEDICO DELEGADAS A COMPRA LOCAL - RED ASISTENCIAL PASCO - ESSALUD CORRESPONDIENTE AL MES DE JULIO 2025. LA RECEPCIÓN SE REALIZARÁ PREVIA VERIFICACIÓN DEL ÁREA USUARIA DE ACUER,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505139045,4505139045,ADQUISICION DE MATERIAL DE ESCRITORIO A NIVEL DE RED ASISTENCIAL PASCO PARA UN PERIODO DE DOCE MESES: Certificación: 2025042656-2025 PAC: 871-2025 CONTRATACION SEGUN REGLAS ESTANDAR DEL METODO ESPECI,,Unidad,2025-07-04,,2025-07-04,2301.0,,2301.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,RED ASISTENCIAL PASCO,NOMBRE_TEXTO,10107926777,ESTREMADOYRO MORENO ALEXIS RAIMUNDO,direct,Deviene de Procesos de Selección,,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MATERIAL DE ESCRITORIO A NIVEL DE RED ASISTENCIAL PASCO PARA UN PERIODO DE DOCE MESES: Certificación: 2025042656-2025 PAC: 871-2025 CONTRATACION SEGUN REGLAS ESTANDAR DEL METODO ESPECI,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505139298,4505139298,ADQUISICION DE MATERIAL MEDICO DELEGADAS A COMPRA LOCAL - RED ASISTENCIAL PASCO - ESSALUD CORRESPONDIENTE AL MES DE JULIO 2025. LA RECEPCIÓN SE REALIZARÁ PREVIA VERIFICACIÓN DEL ÁREA USUARIA DE ACUER,,Unidad,2025-07-04,,2025-07-04,1240.0,,1240.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,RED ASISTENCIAL PASCO,NOMBRE_TEXTO,20100067081,DISTRIBUIDORA CONTINENTAL 6 S A,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MATERIAL MEDICO DELEGADAS A COMPRA LOCAL - RED ASISTENCIAL PASCO - ESSALUD CORRESPONDIENTE AL MES DE JULIO 2025. LA RECEPCIÓN SE REALIZARÁ PREVIA VERIFICACIÓN DEL ÁREA USUARIA DE ACUER,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505157357,4505157357,ADQUISICION DE MATERIAL DE LABORATORIO DELEGADO A COMPRA LOCAL ADJ. AUTORIZACION SANITARIA Y BPA OBLIGATORIO TODO MATERIAL DEBE ESTAR DEBIDAMENTE ROTULADO ATENDER SEGÚN SU PRESENTACION EN CASO EXISTI,,Unidad,2025-07-30,,2025-07-30,2580.0,,2580.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20295006570,ANDINA MEDICA FILIAL PERU,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MATERIAL DE LABORATORIO DELEGADO A COMPRA LOCAL ADJ. AUTORIZACION SANITARIA Y BPA OBLIGATORIO TODO MATERIAL DEBE ESTAR DEBIDAMENTE ROTULADO ATENDER SEGÚN SU PRESENTACION EN CASO EXISTI,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505144394,4505144394,ADQUISICION DE MEDICAMENTO DELEGADO A COMPRA LOCAL ADJ. AUTORIZACION SANITARIA Y BPA OBLIGATORIO TODO MATERIAL DEBE ESTAR DEBIDAMENTE ROTULADO ATENDER SEGÚN SU PRESENTACION EN CASO EXISTIR DIFERENCIA,,Unidad,2025-07-09,,2025-07-09,38231.44,,38231.44,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20100085225,QS CONSUMO S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MEDICAMENTO DELEGADO A COMPRA LOCAL ADJ. AUTORIZACION SANITARIA Y BPA OBLIGATORIO TODO MATERIAL DEBE ESTAR DEBIDAMENTE ROTULADO ATENDER SEGÚN SU PRESENTACION EN CASO EXISTIR DIFERENCIA,LIMA,Emitida,,,,
